Date,G_5th,G_50th,G_95th,z_5th,z_50th,z_95th
1980,-0.3024048924487388,-0.29903728564448673,-0.29566967884023465,-0.8299296438693999,-0.7877648810545603,-0.7019264737764994
1981,-0.28570803267940115,-0.2829888838345906,-0.28026973498978003,-0.8789556562900542,-0.8252597788969676,-0.8096195499102274
1982,-0.25367885403485435,-0.25183401963836405,-0.24998918524187377,-1.030181699991226,-0.9571608046690623,-0.8248225490252177
1983,-0.23846597302590902,-0.2378402318908049,-0.2372144907557008,-1.273960644006729,-1.0997807721296946,-0.8277534286181132
1984,-0.21030475742549656,-0.210150636500531,-0.2099965155755655,-1.4279115736484527,-1.0708946923414866,-0.8229004184405009
1985,-0.20209078121084198,-0.20131142343439057,-0.2005320656579391,-1.095458561182022,-0.9031177500883738,-0.755825404326121
1986,-0.1859159541744043,-0.1848623831986988,-0.1838088122229933,-0.7018226921558379,-0.7354749182860056,-0.6830425302187602
1987,-0.1774514625918365,-0.17597393355461471,-0.17449640451739298,-0.7730746805667876,-0.7527097205320994,-0.6371034423510233
1988,-0.16785278940666756,-0.16691058670071546,-0.1659683839947634,-0.7587549030780791,-0.6475747565428416,-0.5955685416857401
1989,-0.17384287925087824,-0.17272860179667998,-0.17161432434248167,-0.8518667757511138,-0.6911738852659861,-0.5652306119600932
1990,-0.15515765932553668,-0.15417409601275128,-0.153190532699966,-0.8771114885807036,-0.6790138224760691,-0.5598465243975321
1991,-0.12235842994130738,-0.12146045832337804,-0.12056248670544875,-0.40961855053901663,-0.40957281390825906,-0.44698453346888223
1992,-0.1044812257322578,-0.10336021447497407,-0.10223920321769028,-0.542471820116043,-0.4152909259001414,-0.2768524924914042
1993,-0.08669069389186365,-0.08543200309422333,-0.0841733122965829,-0.5355507671833037,-0.45331082145373025,-0.23681748310724893
1994,-0.0570898060508582,-0.05591552784945614,-0.05474124964805413,-0.3378667175769805,-0.35956785480181375,-0.3071564475695292
1995,-0.04225616885814373,-0.04139205797422302,-0.0405279470903023,-0.48424881100654593,-0.4560056666533152,-0.32168758312861123
1996,-0.04488860769895983,-0.044339826761696066,-0.0437910458244323,-0.05797570347785941,-0.15118775169054666,-0.21843350330988565
1997,-0.029485393593185333,-0.029301444717793446,-0.029117495842401503,-0.14199262261390677,-0.11999568740526834,-0.15927148262659707
1998,0.012704584073408715,0.012555525323655725,0.012406466573902847,-0.13856666684150687,-0.09689090053240457,-0.07268250385920205
1999,0.05101153618628332,0.050406696633163495,0.04980185708004367,0.16104037165641794,0.11011114319165549,-0.010214451948801662
2000,0.07460407510192937,0.07378879214283646,0.07297350918374348,0.07750517725944528,0.06669917305310569,0.08312451442082724
2001,0.09780903021815054,0.0967884327008009,0.0957678351834512,0.3822793424129487,0.356126215060552,0.2826812227567037
2002,0.12768832539505412,0.1263747608165401,0.1250611962380259,0.7771749258041383,0.688478167851766,0.5400703211625417
2003,0.14481455944167268,0.14331404258324748,0.14181352572482217,1.0463942050933839,0.9607905109723409,0.9276900251706441
2004,0.1337758746756136,0.1321473790082513,0.13051888334088899,1.0810091257095338,0.9586310346921285,0.7763809223969778
