time,LocSteric
1950,0.2921986751159421
1951,-2.9190500137204074
1952,1.947591375453631
1953,-1.4994607640441977
1954,-2.9707300590595684
1955,-0.6863373314740595
1956,0.9564076563972049
1957,-0.23828354137775087
1958,-0.24355747652414694
1959,-0.5374620507482911
1960,-3.081636641172806
1961,-1.427973545780405
1962,-1.2792360016563902
1963,-3.739575267584296
1964,-0.7569148887251503
1965,-2.3575122990278765
1966,0.8498378411476736
1967,-0.5959230127115737
1968,1.7921968913305317
1969,0.6260822255065432
1970,0.6517675457481532
1971,-0.6218948991107751
1972,-2.518277859179652
1973,-2.1060369474941396
1974,-3.290488933257875
1975,-2.4233961461530997
1976,-1.8760420920018803
1977,-2.836769522230024
1978,-2.2216024243779247
1979,-0.9201388292259075
1980,-1.205155977913528
1981,-2.6243759191315617
1982,-1.209993072611978
1983,-0.9928412063088036
1984,0.9830764904577517
1985,-3.0915846003231118
1986,-3.440632504310342
1987,-0.41158185119682467
1988,-0.501893426499446
1989,1.061255303463549
1990,0.6438626368023689
1991,-2.3550325543776847
1992,-3.185891732580493
1993,-3.1372554022801338
1994,-3.6770496002904833
1995,0.7785912965791069
1996,-0.4514407956285865
1997,0.006018364457413994
1998,0.4219161181728122
1999,1.276118703374523
2000,2.153968227216974
2001,1.6344254632177755
2002,2.205393393874983
2003,2.291193332233815
2004,1.395182549227611
2005,0.9078008027939365
2006,0.4166023665503603
2007,1.6671584047569197
2008,1.6017991665302542
2009,0.510239612729056
2010,0.6518395232490731
2011,0.655523904647562
2012,0.45283445606648465
2013,-0.13791883793717707
2014,0.473510462245322
2015,0.016298629851662694
2016,0.7630066795524909
2017,1.543794206915773
2018,0.8003574663092156
2019,1.0169666383062421
2020,2.0077076883541287
