Date,G_5th,G_50th,G_95th,z_5th,z_50th,z_95th
1930,-0.6621751983209743,-0.5771680149863508,-0.4921608316517273,-4.262174971898396,-3.677918966611226,-3.034405549367269
1931,-0.6510473819897022,-0.569531410636979,-0.48801543928425606,-4.247028239568074,-3.6453781684239703,-3.063727696736654
1932,-0.6521345392772089,-0.5741999568013657,-0.49626537432552287,-4.205520995457967,-3.60728174050649,-2.994242509206136
1933,-0.6289747183038417,-0.553179342454024,-0.47738396660420646,-4.186200984319051,-3.5627837737401324,-2.9465416272481284
1934,-0.6061232871336675,-0.5337232597503202,-0.4613232323669729,-4.210243113835652,-3.5488672812779742,-2.8416593869527182
1935,-0.5681370088755511,-0.49852731318054466,-0.42891761748553847,-4.086107142766316,-3.482920225461324,-2.9176066716512046
1936,-0.5432908314943148,-0.4732531889374536,-0.40321554638059254,-3.994636901219686,-3.378895815213521,-2.7356985410054526
1937,-0.5382470575798893,-0.4591004870945743,-0.37995391660925937,-3.8350948174794515,-3.2624278624852496,-2.6754372914632163
1938,-0.5325727829535394,-0.4444137109154426,-0.356254638877346,-3.8022388299306233,-3.1401243766148883,-2.4894374211629233
1939,-0.5098218392629454,-0.4115378623210997,-0.313253885379254,-3.6387447198232015,-2.997599180539449,-2.3556092580159507
1940,-0.48787092630854123,-0.379693664276075,-0.27151640224360873,-3.464417823155721,-2.8651118834813434,-2.2546304066975913
1941,-0.4732494810032606,-0.3547789053243906,-0.23630832964552062,-3.416000731786092,-2.788591917355855,-2.164403279622396
1942,-0.4734932940578852,-0.34970809168367045,-0.2259228893094557,-3.2590798219045003,-2.6629419883092242,-2.033402760823568
1943,-0.48469645959039354,-0.35690875340443806,-0.22912104721848248,-3.101385005315145,-2.497895296414693,-1.874789317448934
1944,-0.4995794238762231,-0.3681548071209366,-0.23673019036565035,-2.957447894414266,-2.3774877150853473,-1.7764035065968833
1945,-0.5103167079287735,-0.3784553146814208,-0.24659392143406822,-2.9362377007802327,-2.3673539717992145,-1.7971304257710776
1946,-0.5393874394615032,-0.4087110784067831,-0.2780347173520631,-3.0123671372731526,-2.378533895810445,-1.7488413651784263
1947,-0.5381970761745609,-0.41863940915498055,-0.2990817421354002,-3.0423187096913655,-2.429853018124898,-1.8159914811452231
1948,-0.5269694331288379,-0.41724456175417557,-0.30751969037951343,-3.1540969689687093,-2.534123953183492,-1.910966475804647
1949,-0.5090632986853703,-0.41012289479104225,-0.31118249089671446,-3.1577566941579183,-2.5937519629796344,-1.995314915974935
1950,-0.5244640870961828,-0.4362084293419226,-0.3479527715876627,-3.1263588746388753,-2.510860975583394,-1.898764451344808
1951,-0.5371787944931385,-0.46024825849317386,-0.3833177224932093,-3.0267828782399495,-2.413736875851949,-1.7827053864796958
1952,-0.5444956192920802,-0.4746835388806231,-0.40487145846916606,-2.9432729562123616,-2.334416921933492,-1.7275603612263999
1953,-0.5313734405223801,-0.4690964766878746,-0.40681951285336904,-2.9614237626393636,-2.3333759864171344,-1.6645074685414634
1954,-0.5137675578735968,-0.4583936050656269,-0.403019652257657,-2.9518479188283284,-2.317338999112447,-1.6962464650472007
1955,-0.499396183305003,-0.44881386346626895,-0.3982315436275349,-2.8827909310658772,-2.3205347617467242,-1.7424033482869468
1956,-0.48354707338665026,-0.4377003866521103,-0.39185369991757046,-2.876925834019979,-2.295706804593404,-1.6893184979756675
1957,-0.47559010199511653,-0.433584728516446,-0.3915793550377755,-2.4236258347829183,-2.2443371375401813,-2.0060985883076987
1958,-0.4790279483348516,-0.4415256290344951,-0.4040233097341387,-1.8759220918019612,-1.7627201636632281,-1.7785394986470542
1959,-0.4860319942131992,-0.45296929252343365,-0.4199065908336683,-2.180571921666463,-1.9664688666661578,-1.824212392171224
1960,-0.5001309357763175,-0.47188094605189146,-0.4436309563274655,-1.8503369172414144,-1.692940290768941,-1.6258614857991538
1961,-0.49704529645601103,-0.472588743083322,-0.44813218971063296,-1.6540058930714925,-1.5053208430608112,-1.3698683579762778
1962,-0.4829719545483355,-0.46116064169231297,-0.4393493288362905,-1.534011729558309,-1.3763998111089069,-1.315972407658895
1963,-0.48897757106430806,-0.46937877987504106,-0.4497799886857742,-1.6949704964955647,-1.5098639090855914,-1.4001246293385825
1964,-0.5019954286681894,-0.48447875429095355,-0.46696207991371785,-1.761797793706258,-1.7440801223119098,-1.582982381184896
